,busname,bustype,depature_time,travel_time,end_time,star_rating,price,seat_available,routename,routelink,seatavilable
7081,JKRTC - 169884,A/C Seater Executive (2+1),12:00,01h 00m,13:00,2.8,166.0,19.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,19
7082,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),15:10,02h 05m,17:15,3.5,450.0,34.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,34
7083,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),15:50,02h 40m,18:30,3.5,855.0,38.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,38
7084,FlixBus,Bharat Benz A/C Sleeper (2+1),18:30,01h 30m,20:00,4.2,561.61,35.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,35
7085,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),18:45,01h 25m,20:10,4.4,103.0,40.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,40
7086,City Land Travels,A/C Seater/Sleeper (2+1),19:00,01h 30m,20:30,3.6,495.0,40.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,40
7087,Zingbus Plus,A/C Sleeper (2+1),19:50,01h 30m,21:20,4.4,120.0,28.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,28
7088,KN Nehra Travels,A/C Seater / Sleeper (2+1),19:00,01h 30m,20:30,3.0,599.0,30.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,30
7089,FlixBus,Bharat Benz A/C Sleeper (2+1),21:00,01h 25m,22:25,4.2,561.61,27.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,27
7090,Royal Golden,A/C Seater / Sleeper (2+2),13:00,01h 00m,14:00,1.9,675.0,35.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,35
7091,Perfect Holiday,A/C Seater / Sleeper (2+2),20:30,01h 45m,22:15,2.5,719.0,42.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,42
7092,Royal Golden,A/C Seater / Sleeper (2+2),23:00,01h 00m,00:00,1.9,495.0,28.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,28
7093,Lavish Travels,A/C Seater / Sleeper (2+2),14:40,13h 55m,04:35,2.8,719.0,52.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,52
7094,VGO BUS,A/C Seater/Sleeper (2+1),18:30,01h 00m,19:30,4.0,1800.0,40.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,40
7095,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),19:00,01h 00m,20:00,3.7,1099.0,34.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,34
7096,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),A/C Sleeper (2+2),20:00,01h 00m,21:00,3.7,1099.0,48.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,48
7097,JKRTC - 172597,Volvo AC Seater (2+2),13:00,24h 00m,13:00,4.0,2055.0,28.0,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,28
7098,Zingbus Plus,A/C Sleeper (2+1),21:35,19h 50m,17:25,4.6,2294.0,8.0,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,8
7099,Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),20:00,19h 20m,15:20,4.6,2078.0,12.0,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,12
7100,Big Bus,A/C Seater / Sleeper (2+2),21:15,18h 15m,15:30,2.8,2405.0,40.0,Delhi to Srinagar,https://www.redbus.in/bus-tickets/delhi-to-srinagar,40
7101,Bhawani Travels,A/C Seater / Sleeper (2+2),19:50,01h 40m,21:30,3.8,400.0,37.0,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,37
7102,Bhawani Travels,A/C Seater / Sleeper (2+2),20:00,01h 45m,21:45,3.8,400.0,36.0,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,36
7103,Perfect Holiday,A/C Seater / Sleeper (2+2),11:20,01h 00m,12:20,2.5,494.0,29.0,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,29
7104,FlixBus,Bharat Benz A/C Sleeper (2+1),12:15,01h 35m,13:50,2.6,561.61,29.0,Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,29
7105,JKRTC - 169884,A/C Seater Executive (2+1),12:00,01h 00m,13:00,2.8,166.0,19.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,19
7106,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),15:10,02h 05m,17:15,3.5,450.0,34.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,34
7107,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),15:50,02h 40m,18:30,3.5,855.0,38.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,38
7108,FlixBus,Bharat Benz A/C Sleeper (2+1),18:30,01h 30m,20:00,4.2,561.61,35.0,Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,35
